record_label,catalog_number,artist,album,image
Period Records,PRST 2733,Antonio Vivaldi,Concerto in G major for Two Mandolins and Orchestra / Concerto No. 1 in A minor for Piccolo and Strings / Concerto No. 2 in C major for Piccolo and Strings / Concerto No. 3 in C major for Piccolo and Strings,records/138/PXL_20240925_025653425.jpg
Melodiya,SR-40102,Vasily Kalinnikov,Symphony No. 2 in A (1898),records/138/PXL_20240925_025659913.jpg
Westminster,W-9706,George Frederick Handel,"Concerti Grossi, Op. 6, Volume 4",records/138/PXL_20240925_025705836.jpg
Deutsche Grammophon Gesellschaft,LPM 18 628,Franz Schubert,"Symphony No. 8 in B Minor 'Unfinished', Symphony No. 4 in C Minor 'Tragic'",records/138/PXL_20240925_025711472.jpg
Nonesuch,H-71139,George Frideric Handel / Joseph Bodin de Boismortier,"Italian Cantata, Tu Fedel, Tu Costante / Cantata, Diane et Actéon",records/138/PXL_20240925_025717395.jpg
RCA,VICS-1484,Gustav Leonhardt,The Sound of the Early Harpsichord,records/138/PXL_20240925_025723561.jpg
Oryx,ORYX 4403,"Anon., Boyce and Woodcock",The Baroque Concerto in England,records/138/PXL_20240925_025729418.jpg
Nonesuch,H-71018,Unknown,Masterpieces of the Early French & Italian Renaissance,records/138/PXL_20240925_025736006.jpg
MHS,MHS STEREO 3993,Michael Praetorius,Complete Organ Music Volume 1,records/138/PXL_20240925_025742401.MP.jpg
MHS,4066,Charles Gounod,"Requiem for soloists, chorus, and orchestra",records/138/PXL_20240925_025748696.jpg
Argo,,Musica Reservata and Purcell Consort,To Entertain a King: Music for Henry VIII,records/138/PXL_20240925_025755803.jpg
L'Oiseau-Lyre,SOL 283,"The Choir of the Carmelite Priory, London",Masters of the Renaissance: Victoria & Palestrina,records/138/PXL_20240925_025802506.MP.jpg
Telefunken,MHS 4125,"Concentus Musicus, Vienna / Capella Antiqua, Munich / Wiener Sängerknaben / Chorus Viennensis",Stabat Mater,records/138/PXL_20240925_025809035.jpg
The Musical Heritage Society Inc.,MHS 1777,Capella Antiqua München,Renaissance Masses,records/138/PXL_20240925_025819808.jpg
Nonesuch Records,H-71016,Bach,"Concerto for 2 Violins in D Minor, Concerto for Violin in A Minor, Concerto for Violin in E Major",records/138/PXL_20240925_025825733.jpg
Crossroads,22 16 0172,"Josef Suk, Karel Ančerl, Martin Turnovský",Berg: Violin Concerto / Bach: Cantata No. 60,records/138/PXL_20240925_025832835.jpg
Trimbach,TV-S 34568,Robert Parris / Robert Evett,The Book of Imaginary Beings / Quintet for Piano & Strings,records/138/PXL_20240925_025838526.jpg
"Library of Congress, Music Division, Recording Laboratory",,Various Artists,Religious Music: Congregational & Ceremonial,records/138/PXL_20240925_025847609.MP.jpg
Archiv Produktion,2533 111,Ulsamer-Collegium,Tanzmusik der Renaissance,records/138/PXL_20240925_025853623.jpg
the musical heritage society inc.,MHS 1223,Antonio de Cabezon,"Music for Organ, Clavichord and Vihuela de Mano",records/138/PXL_20240925_025900471.jpg
Crossroads,22 16 0041,The Prague Madrigal Singers,Monteverdi Missa A Cappella,records/138/PXL_20240925_025908176.jpg
The Musical Heritage Society Inc.,MHS 3308,Jean Gilles,Three Motets,records/138/PXL_20240925_025915364.jpg
Vanguard,VRS-1117,"Zurich Chamber Orchestra, Edmond de Stoutz, Conductor",20th-Century Masterpieces of the Vienna School,records/138/PXL_20240925_025922051.jpg
MHS,3729,Josquin Des Pres,Missa Da Pacem,records/138/PXL_20240925_025930387.jpg
Everest Records,902,Ignace Jan Paderewski,plays Chopin,records/138/PXL_20240925_025937049.jpg
